Product Name,Price,Review Count,Image URL
"Global Premiere Ulefon Armor22 Reinforced Phone, 16GB (8GB+8GB) RAM, 256GBROM, Android 13 Smartphone, NFC64MP4G Phone (Green)",428.00,N/A,https://m.media-amazon.com/images/I/41L4BBS7c2L._AC_UY218_.jpg
"Global Premiere Ulefon Armor22 Reinforced Phone, 16GB (8GB+8GB) RAM, 256GBROM, Android 13 Smartphone, NFC64MP4G Phone (Black)",428.00,N/A,https://m.media-amazon.com/images/I/41sGZmYruiL._AC_UY218_.jpg
"iVERTU Calfskin 5G Phone, Unlocked Smartphone, Secure Encrypted, 64MP Camera, 12+512G, 120Hz FHD+(1080 * 2400) OLED Display, Dual SIM, Fast Charge (Stitch, Cross)","6,272.39",N/A,https://m.media-amazon.com/images/I/71ASC9J1SML._AC_UY218_.jpg
"5G Rugged Smartphone Unlocked Canada OUKITEL WP33PRO-Android 13, 22000mAh(33W) Cell Phone, 24GB+256GB/TF 2TB, 6.6"" FHD+, 64MP Camera, Loudest Speaker,Waterproof Mobile Phone,NFC,OTG,Dual 5G Volte",569.99,72,https://m.media-amazon.com/images/I/818+oZZHXiL._AC_UY218_.jpg
"Ulefone Note 16 Pro(16GB+256GB) Unlocked Phones, Android 13 Unlocked Smartphone, 50MP Main Camera, 6.52” HD+ Waterdrop Screen, 8-Core Processor, 4400mAh Battery, Dual 4G Unlocked Cell Phone-Blue",199.99,166,https://m.media-amazon.com/images/I/71sa+Hw0y4L._AC_UY218_.jpg
"UMIDIGI A15T Cell Phones, Android 13 Smartphones Unlocked, 16(8+8)+128GB/TF 1TB, 64MP+16MP Camera, 6.7 inch HD+, 5000mAh Battery, MediaTek Helio G95,4G Dual Sim Android Phone, NFC/Face ID/GPS",178.49,277,https://m.media-amazon.com/images/I/81xLGwXj0+L._AC_UL640_QL65_.jpg
"Samsung Galaxy Z Flip6, AI Smart Phone, Android Smartphone, 512GB Storage, 50MP Rear Camera, AI Flex Zoom, Live Translate - Yellow (CAD Version & Warranty)","1,622.99",N/A,https://m.media-amazon.com/images/I/51h-DZvElbL._AC_UY218_.jpg
"Samsung Galaxy Z Fold6, AI Smart Phone, Android Smartphone, 512GB Storage, AI Zoom, Live Translate, Multi-Tasking, S Pen, Long Battery Life - Pink (CAD Version & Warranty)","2,724.99",N/A,https://m.media-amazon.com/images/I/51sfpHZ3woL._AC_UY218_.jpg
BlackBerry Curve 3G 9300 Unlocked GSM Smartphone with 2 MP Camera - Unlocked Phone - International Version - Graphite Grey (Renewed),N/A,N/A,https://m.media-amazon.com/images/I/51ZWlWVDYtL._AC_UY218_.jpg
Domo-kun Smartphone Cleaner Castella,21.98,N/A,https://m.media-amazon.com/images/I/51ohmoFFt7L._AC_UY218_.jpg
"LG G7 ThinQ | 64GB, 4GB RAM | 6.1"" QHD+ FullVision display | Snapdragon 845 | Android 9.0 Pie | Dual 16MP Rear Camera | PLATINUM GREY | T-Mobile Unlocked",N/A,203,https://m.media-amazon.com/images/I/71siYAw7auL._AC_UY218_.jpg
DOOG V31 GT 5G Reinforced Phone 12GB+256GB 6.58 inch FHD120Hz Thermal Imaging 10800mAh 66W Fast Charging 50mP Camera NFC Smartphone (Black),854.00,N/A,https://m.media-amazon.com/images/I/41Z4hsi0ciL._AC_UY218_.jpg
"BlackBerry KEYONE 4.5"" BB100-1 OEM Unlocked (US Version) Smartphone 4GB LTE GSM / 32GB QUALCOMM Snapdragon/Corning Gorilla Glass- Works Worldwide & in The U.S.",650.00,N/A,https://m.media-amazon.com/images/I/41m-1ghMaDL._AC_UY218_.jpg
Sikphoni Smartphone Ring 72 Years 1st Anniversary,68.83,N/A,https://m.media-amazon.com/images/I/71geYzhsWXL._AC_UY218_.jpg
"LG G8 ThinQ (128GB, 6GB RAM) 6.1"" QHD+ OLED FullVision Display, Crystal Sound OLED Speaker, Hand ID, Air Motion, 4G LTE (Only for T-Mobile & Its MVNO's) (Renewed) (Aurora Black)",449.00,219,https://m.media-amazon.com/images/I/61+7LECQNhL._AC_UY218_.jpg
N6000 Rugged Smartphone 16GB+256GB Helio G99 Android 13 Waterproof 4.3'' Display 48MP Camera NFC 4GCellphone（green）,336.00,N/A,https://m.media-amazon.com/images/I/41wOz2b5-XL._AC_UY218_.jpg
"LG G4 H812, 5.5-inch LCD, 32GB, 3GB RAM, 16MP Camera, Unlocked LTE Smartphone Black Leather + Titanium Cover - Android™ 6.0 Marshmallow",N/A,18,https://m.media-amazon.com/images/I/71LjgkaaC6L._AC_UY218_.jpg
OnePlus 10 Pro 5G Dual-SIM 256GB ROM + 8GB RAM (GSM| CDMA) Factory Unlocked 5G Smartphone (Emerald Forest) - International Version (Renewed),999.00,1,https://m.media-amazon.com/images/I/81fkbOe-u-L._AC_UY218_.jpg
Huawei P30 Pro Single-SIM 128GB VOG- L09 Factory Unlocked 4G/LTE Smartphone - International Version (Midnight Black) (Renewed),949.00,47,https://m.media-amazon.com/images/I/51JkZDQeXUL._AC_UY218_.jpg
"LG Google Nexus 5 D821 Factory Unlocked Phone, 32GB, Black - No 4G in USA - International Version No Warranty",N/A,457,https://m.media-amazon.com/images/I/61Xnni1zkQL._AC_UY218_.jpg
"UMIDIGI A15T Cell Phones, Android 13 Smartphones Unlocked, 16(8+8)+128GB/TF 1TB, 64MP+16MP Camera, 6.7 inch HD+, 5000mAh Battery, MediaTek Helio G95,4G Dual Sim Android Phone, NFC/Face ID/GPS",178.49,277,https://m.media-amazon.com/images/I/81xLGwXj0+L._AC_UY218_.jpg
"Unlocked Phones, Ulefone Note 14 (8+64GB) Android 12 OS, 6.52” Screen Unlocked Smartphone 4500mAh Battery, 13+5MP Camera 4G Dual SIM 3-Card Slots Unlocked Cell Phones Canada, Face ID OTG - Purple",129.99,200,https://m.media-amazon.com/images/I/71bN0OGm-9L._AC_UY218_.jpg
Huawei P30 Lite - Unlocked Phone - (Midnight Black)-Canadian Warranty,N/A,435,https://m.media-amazon.com/images/I/81KK05HLR3L._AC_UY218_.jpg
Huawei P20 128GB Dual-SIM Factory Unlocked 4G/LTE Smartphone (Black) - International Version,"1,105.00",653,https://m.media-amazon.com/images/I/41Oui7-3O4L._AC_UY218_.jpg
Motorola Moto Z Play 32GB XT1635-02 4G LTE Unlocked Smartphone (Black - International Version) (Renewed),499.00,N/A,https://m.media-amazon.com/images/I/613iGWdLkIL._AC_UY218_.jpg
"15 Smartphone, Full Touch Screen Cellphone with 6.7in HD Large Screen, for Android 13, 6GB RAM, 256GB ROM, 6800mAh Battery, 16MP 32MP Camera, for Daily(Color:Black)",256.88,N/A,https://m.media-amazon.com/images/I/61cBCw2LrrL._AC_UY218_.jpg
"Multifunctional NFC Smart, 128GB R5 SmartTai Chi Design with Large Storage Space, Share Your Account for All NFC Enabled Phones",35.81,N/A,https://m.media-amazon.com/images/I/51U+IwCJTBL._AC_UY218_.jpg
"Multifunctional NFC Smart, 128GB R5 SmartTai Chi Design with Large Storage Space, Share Your Account for All NFC Enabled Phones",35.76,N/A,https://m.media-amazon.com/images/I/51B+GmPLWpL._AC_UY218_.jpg
"Smart Tracking Phone Camera Tripod, 360° Rotation Car Face Tracking Holder, No App for Recording for Vlogging Required",101.15,N/A,https://m.media-amazon.com/images/I/51wy4TBSHxL._AC_UY218_.jpg
"iP14 Pro Unlocked Smartphone for 11, 4G Dual SIM Phone, 4GB 32GB ROM Cell Phones Unlocked, 6.1 HD Screen, Face Unlock, 6800mAh, 8MP 16MP, Blue",N/A,N/A,https://m.media-amazon.com/images/I/61L5R2S1vlL._AC_UY218_.jpg
Motorola Moto G Pro XT2043-7 Dual SIM 128GB + 4GB RAM Factory Unlocked 4G Smartphone (Mystic Indigo) - International Version,N/A,207,https://m.media-amazon.com/images/I/51kVeUM7sDL._AC_UY218_.jpg
Samsung Galaxy S8 64GB Unlocked Phone - US Version (Arctic Silver),398.49,232,https://m.media-amazon.com/images/I/618ZY+QKyNL._AC_UY218_.jpg
"S23Ultra Phones with 128GB SD Card, 5G Dual SIM Smartphone 6.8inch Display, Android 13.0 Mobile Phones SIM Free Unlocked,8000mAh Battery, Face ID/GPS/OTG,Black-8GB 256GB",269.99,N/A,https://m.media-amazon.com/images/I/51yxf5XEY6L._AC_UY218_.jpg
"Ulefone Note 16 Pro Unlocked Cell Phones, Android 13 Unlocked Phones, 16GB+128GB, 50MP Main Camera, 6.52” HD+ Waterdrop Screen, 8-Core Processor, 4400mAh Battery, Dual 4G Unlocked Smartphone-Purple",179.99,115,https://m.media-amazon.com/images/I/61HgxJHLM1L._AC_UY218_.jpg
"UMIDIGI Bison GT2 5G NFC Rugged Smartphone 2023, Android 12 Dimensity 900 Rugged Phone, 6.5"" 90Hz FHD+, 8GB+128GB,6150mAh 64MP Global Version Dual 4G Dual SIM Outdoor Waterproof Phones",449.99,127,https://m.media-amazon.com/images/I/71Ecq9UzgXL._AC_UY218_.jpg
"Samsung Galaxy Z Flip6, AI Smart Phone, Android Smartphone, 512GB Storage, 50MP Rear Camera, AI Flex Zoom, Live Translate - Silver Shadow (CAD Version & Warranty)","1,622.99",N/A,https://m.media-amazon.com/images/I/51x07qpQCbL._AC_UY218_.jpg
"UMIDIGI Bison GT2 PRO 5G NFC Rugged Smartphone 2023, Android 12 Dimensity 900 Rugged Phone, 6.5"" 90Hz FHD+, 8GB+256GB,6150mAh 64MP Global Version Dual 4G Dual SIM Outdoor Waterproof Phones",439.99,272,https://m.media-amazon.com/images/I/71BqKokW6HL._AC_UY218_.jpg
"S23 Pro Smartphone, 3G Mobile Phone with 3 inch Screen, 2GB + 16GB ROM, 1000mAh Battery, Unlocked Smartphone for Students, Palm Size (Violet) (Color : Black)",N/A,N/A,https://m.media-amazon.com/images/I/613PSn4YIhL._AC_UY218_.jpg
"S23 Pro Smartphone, 3G Mobile Phone with 3 inch Screen, 2GB + 16GB ROM, 1000mAh Battery, Unlocked Smartphone for Students, Palm Size (Violet) (Color : Violet)",N/A,N/A,https://m.media-amazon.com/images/I/61n-3RasNCL._AC_UY218_.jpg
"S23 Pro Smartphone, 3G Mobile Phone with 3 inch Screen, 2GB + 16GB ROM, 1000mAh Battery, Unlocked Smartphone for Students, Palm Size (Violet) (Color : Blackish Green)",N/A,N/A,https://m.media-amazon.com/images/I/61xKXtv6PpL._AC_UY218_.jpg
Motorola Moto Z3 Play | Grade A | Unlocked | Deep Indigo | 64 GB | 6 in Screen,325.00,341,https://m.media-amazon.com/images/I/61mg9yz0S5L._AC_UY218_.jpg
"7.1 Inch,Dual Sim,4GB+Expandable 128GB,AI Camera Sim Android 10 Smartphone.,Blue,bonny369",278.99,N/A,https://m.media-amazon.com/images/I/717eUj6NFxL._AC_UY218_.jpg
"7.1 Inch,Dual Sim,4GB+Expandable 128GB,AI Camera Sim Android 10 Smartphone.,White,bonny369",278.99,N/A,https://m.media-amazon.com/images/I/71I1UHh14ZL._AC_UY218_.jpg
"7.1 Inch,Dual Sim,4GB+Expandable 128GB,AI Camera Sim Android 10 Smartphone.,Black,bonny369",278.99,N/A,https://m.media-amazon.com/images/I/71RVvVKREoL._AC_UY218_.jpg
"I14 Smartphone, 5G Unlocked Cell Phone, 7.3in HD Large Screen, for Android 13, 8GB RAM, 256GB ROM, Face Recognition, 7800mAh, with 72MP 108MP Cameras(Color:Black)",256.88,N/A,https://m.media-amazon.com/images/I/616iFSKeiDL._AC_UY218_.jpg
"14 Smartphone, 5G Unlocked Cell Phone, 7.3in HD Large Screen, for Android 13, 8GB RAM, 256GB ROM, Face Recognition, 7800mAh, with 72MP 108MP Cameras(Color:Gold)",256.88,N/A,https://m.media-amazon.com/images/I/61ZcLaBvkUL._AC_UY218_.jpg
"15 Smartphone, 5G Unlocked Cell Phone, 7.3in HD Large Screen, for Android 13, 8GB RAM, 256GB ROM, Face Recognition, 7800mAh, with 72MP 108MP Cameras(Color:Black)",256.88,N/A,https://m.media-amazon.com/images/I/61QbA6Ecv2L._AC_UY218_.jpg
"14 Smartphone, 5G Unlocked Cell Phone, 7.3in HD Large Screen, for Android 13, 8GB RAM, 256GB ROM, Face Recognition, 7800mAh, with 72MP 108MP Cameras(Color:Purple)",256.88,N/A,https://m.media-amazon.com/images/I/61GjHPIs4jL._AC_UY218_.jpg
"14 Smartphone, 5G Unlocked Cell Phone, 7.3in HD Large Screen, for Android 13, 8GB RAM, 256GB ROM, Face Recognition, 7800mAh, with 72MP 108MP Cameras(Color:Black)",256.88,N/A,https://m.media-amazon.com/images/I/61rkqh+-DEL._AC_UY218_.jpg
"Unlocked Cell Phones Canada, Ulefone Note 16 Pro(12+128GB) Unlocked Smartphone, Android 13, 50MP Dual Cameras, 4400mAh, 6.52-inch Screen, Ultra Thin & Light 4G LTE Phones (Blue)",159.99,"1,823",https://m.media-amazon.com/images/I/71k9Z49PZHL._AC_UY218_.jpg
"Rugged Phone Canada, Ulefone Armor X12 Rugged Smartphone, Android 13 Go, 6GB+32GB up to 256GB Extension, 5.45 inch HD+ Screen, 13MP Rear Camera, 4860mAh, 3-Card Slot, NFC, OTG, Orange",169.99,35,https://m.media-amazon.com/images/I/71yo-JwvDsL._AC_UY218_.jpg
"I14 Smartphone, 5G Unlocked Cell Phone, 7.3in HD Large Screen, for Android 13, 8GB RAM, 256GB ROM, Face Recognition, 7800mAh, with 72MP 108MP Cameras(Color:Gold)",256.88,N/A,https://m.media-amazon.com/images/I/61w4zwPpuLL._AC_UY218_.jpg
"I15 Smartphone, 5G Unlocked Cell Phone, 7.3in HD Large Screen, for Android 13, 8GB RAM, 256GB ROM, Face Recognition, 7800mAh, with 72MP 108MP Cameras(Color:Purple)",256.88,N/A,https://m.media-amazon.com/images/I/61l7vVHg3HL._AC_UY218_.jpg
"15 Smartphone, 5G Unlocked Cell Phone, 7.3in HD Large Screen, for Android 13, 8GB RAM, 256GB ROM, Face Recognition, 7800mAh, with 72MP 108MP Cameras(Color:Purple)",256.88,N/A,https://m.media-amazon.com/images/I/61ww7wQ8h6L._AC_UY218_.jpg
"Unlocked 14 Smartphone, 4G Cell Phone, Android 12, 6.7inch HD Full Screen Phone, 6GB RAM 128GB ROM, Face ID, GPS, Dual SIM Dual Standby, 6800mAh Battery(Color:Purple)",256.88,N/A,https://m.media-amazon.com/images/I/6196bSJH9SL._AC_UY218_.jpg
"14 Smartphone with 6.7in HD Large Screen, Unlocked Cell Phone for Android 13, 8GB 256GB, Face Recognition, 128G Expansion, with Front 16MP Camera Rear 32MP Camera(Color:Gold)",256.88,N/A,https://m.media-amazon.com/images/I/61n0cOelWLL._AC_UY218_.jpg
"Unlocked 14 Smartphone, 4G Cell Phone, Android 12, 6.7inch HD Full Screen Phone, 6GB RAM 128GB ROM, Face ID, GPS, Dual SIM Dual Standby, 6800mAh Battery(Color:Black)",256.88,N/A,https://m.media-amazon.com/images/I/61fxGyzsWAL._AC_UY218_.jpg
"15 Smartphone with 6.7in HD Large Screen, Unlocked Cell Phone for Android 13, 8GB 256GB, Face Recognition, 128G Expansion, with Front 16MP Camera Rear 32MP Camera(Color:Black)",256.88,N/A,https://m.media-amazon.com/images/I/61zNDeKGrfL._AC_UY218_.jpg
"14 Smartphone with 6.7in HD Large Screen, 4G Unlocked Cell Phone for Android 12, 8GB 256GB, Face Recognition, 128G Expansion, with Front 16MP Camera Rear 32MP Camera(Color:Gold)",256.88,N/A,https://m.media-amazon.com/images/I/61MqgvRKDrL._AC_UY218_.jpg
"15 Smartphone with 6.7in HD Large Screen, 4G Unlocked Cell Phone for Android 12, 8GB 256GB, Face Recognition, 128G Expansion, with Front 16MP Camera Rear 32MP Camera(Color:Gold)",256.88,N/A,https://m.media-amazon.com/images/I/613vWsA10gL._AC_UY218_.jpg
"LG Stylus 3 - M470 - Fingerprint 5.7"" 13MP 32GB LTE Factory Unlocked Smartphone - Canadian Warranty (Titan)",N/A,100,https://m.media-amazon.com/images/I/51jzHjQmMQL._AC_UY218_.jpg
"Unlocked Cell Phone, I14 Smartphone 5G with 7.3in HD Large Screen, 8GB RAM, 256GB ROM, for Android 14, Dual SIM Dual Standby, Face Recognition, 72MP 108MP Cameras(Color:Black)",256.88,N/A,https://m.media-amazon.com/images/I/61jNQZcJM3L._AC_UY218_.jpg
"Unlocked Cell Phone, I14 Smartphone 5G with 7.3in HD Large Screen, 8GB RAM, 256GB ROM, for Android 14, Dual SIM Dual Standby, Face Recognition, 72MP 108MP Cameras(Color:Purple)",256.88,N/A,https://m.media-amazon.com/images/I/71iVeW-sCXL._AC_UY218_.jpg
"Unlocked Smart Cell Phone, 𝘽𝙡𝙖𝙘𝙠𝙫𝙞𝙚𝙬 OSCAL Flat1C Android 13 Smartphone, 4GB+32GB/SD 256GB, 4G Dual Sim, 6.57'' HD+Screen, 4700mAh, Type-C, 3 Cards Slots,",149.99,87,https://m.media-amazon.com/images/I/71iTz8U0eCL._AC_UY218_.jpg
"Ulefone Note 14 (8+64GB) Unlocked Cell Phones Canada, Android 12 Smartphone, 6.52” 4500mAh Battery, 13+5MP Camera, Ultra-Slim Lightweight 4G Dual SIM 3-Card Slots Face ID Mobile Phone- Black",129.99,200,https://m.media-amazon.com/images/I/61GlpMpvVrL._AC_UY218_.jpg
"Samsung Galaxy Z Flip4 5G 128GB Graphite (CAD Version & Warranty) - AI Enabled, 6.7"" 120Hz AMOLED, Snapdragon 8+Gen1, 12MP+12MP rear camera, 10MP Selfie Camera, fast charging, powershare",589.00,46,https://m.media-amazon.com/images/I/61ZXq2WgbsL._AC_UY218_.jpg
"Samsung Galaxy Z Flip6, AI Smart Phone, Android Smartphone, 256GB Storage, 50MP Rear Camera, AI Flex Zoom, Live Translate - Blue (CAD Version & Warranty)","1,462.99",4,https://m.media-amazon.com/images/I/31gzwZBCtxL._AC_UY218_.jpg
"Unlocked Cell Phone, I14 Smartphone 5G with 7.3in HD Large Screen, 8GB RAM, 256GB ROM, for Android 14, Dual SIM Dual Standby, Face Recognition, 72MP 108MP Cameras(Color:Gold)",256.88,N/A,https://m.media-amazon.com/images/I/61FS1kLgK8L._AC_UY218_.jpg
"Unlocked Cell Phone, I15 Smartphone 5G with 7.3in HD Large Screen, 8GB RAM, 256GB ROM, for Android 14, Dual SIM Dual Standby, Face Recognition, 72MP 108MP Cameras(Color:Gold)",256.88,N/A,https://m.media-amazon.com/images/I/61FS1kLgK8L._AC_UY218_.jpg
"Unlocked Cell Phone, I15 Smartphone 5G with 7.3in HD Large Screen, 8GB RAM, 256GB ROM, for Android 14, Dual SIM Dual Standby, Face Recognition, 72MP 108MP Cameras(Color:Purple)",256.88,N/A,https://m.media-amazon.com/images/I/71iVeW-sCXL._AC_UY218_.jpg
